Store Name,Item Name,Amount
,0.41 lb @ 1 Ib /0.49,$  0.20
,FRAP 001200010451 F,$  5.48
,. DISCOUNT GIVEN,$  0.57
,SUBTOTAL,$  5.11
,_ TOTAL,$  5.11
,CASH TEND,$ 11.00
,CHANGE DUE,$  5.89
,Total,$ 33.36
,,
TRADER JOE'S,2 @,$  0.49
TRADER JOE'S,3FA —«@,$  0.29
TRADER JOE'S,2 @,$  0.69
TRADER JOE'S,CASH,$ 40.00
TRADER JOE'S,CHANGE,$  1.32
TRADER JOE'S,Total,$ 42.79
,,
Give us feedback @ survey.walmart.com,GV OATMEAL 007874243408 F,$  1.76
Give us feedback @ survey.walmart.com,OT 2002 TUM 081236803115,$  6.74
Give us feedback @ survey.walmart.com,M ATHLETICS 019104567781,$ 24.97
Give us feedback @ survey.walmart.com,DEXAS 15X20 008429710921,$ 12.97
Give us feedback @ survey.walmart.com,SUBTOTAL,$ 46.44
Give us feedback @ survey.walmart.com,TAX 1,$  7.75
Give us feedback @ survey.walmart.com,TOTAL,$ 49.90
Give us feedback @ survey.walmart.com,DEBIT TEND,$ 49.90
Give us feedback @ survey.walmart.com,CHANGE DUE,$  0.00
Give us feedback @ survey.walmart.com,Total,$200.43
,,
See baci,WAS,$  4.54
See baci,Total,$  4.54
,,
